Question_num,Question_Chinese,Question_English,SubQuestion_num,SubQuestion_Chinese,SubQuestion_English,count_yes,count_1,count_2,count_3,count_4,count_5,mean,std
22,（对于申请硕士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Master's program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",4,进入学术界后，在留学国家获得永久居留权或国籍的难度,"The difficulty of immigration to the destination country, i.e., obtaining permanent residence or citizenship, after working in academia",,5,10,20,22,8,3.277,1.111
22,（对于申请硕士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Master's program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",5,毕业后，在本校继续攻读PHD的机会,The opportunity to pursue a Ph.D. degree at the destination university,,1,15,11,31,10,3.5,1.044
22,（对于申请硕士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Master's program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",6,毕业后，在海外申博的难度,The opportunity of applying for an overseas Ph.D. program after graduation,,3,9,11,21,24,3.794,1.191
22,（对于申请硕士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Master's program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",7,毕业后，在海外申博的奖学金机会（包括欧洲博士的薪资）,The opportunity to apply for scholarship of an overseas Ph.D. program after graduation,,3,8,14,16,27,3.824,1.209
22,（对于申请硕士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Master's program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",8,毕业后，申请国内博士的难度,The opportunity of applying for a Ph.D. program in China after graduation,,7,19,22,5,10,2.873,1.211
23,（对于申请博士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Doctoral program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,该学科相关的研究符合我的兴趣,The research relevant to the program fits my interests,,0,1,1,3,15,4.6,0.821
23,（对于申请博士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Doctoral program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,该学科相关研究领域的整体发展前景好,The overall prospects of this field,,0,1,1,5,13,4.5,0.827
23,（对于申请博士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Doctoral program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,在学术界的校友人脉,Alumni in academia,,0,1,0,12,7,4.25,0.716
23,（对于申请博士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Doctoral program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",4,进入学术界后，在留学国家获得永久居留权或国籍的难度,"The difficulty of immigration to the destination country, i.e., obtaining permanent residence or citizenship, after working in academia",,2,2,4,8,4,3.5,1.235
23,（对于申请博士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Doctoral program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",5,毕业后，在本校获得教职的机会,The opportunity to obtain a faculty position at the destination university after graduation,,3,6,2,7,2,2.95,1.317
23,（对于申请博士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Doctoral program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",6,毕业后，在海外求职的学校/专业排名,The opportunity to find an overseas faculty position after graduation,,0,2,3,10,5,3.9,0.912
23,（对于申请博士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Doctoral program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",7,毕业后，在海外求职的待遇和科研经费,The salary and funding as an overseas faculty after graduation,,0,2,2,11,5,3.95,0.887
23,（对于申请博士）在您选择留学院校和专业的过程中，以下与学术界发展前景有关的因素是否影响了您的决策，重要性如何?,"(If you are applying for a Doctoral program) Did the following factors related to career prospects in academia influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",8,毕业后，回国进入学术界的难度、待遇和入选人才计划的机会,The opportunity to apply for funding and be selected for talented programs in China after graduation,,1,2,4,4,8,3.842,1.259
24,在您选择留学院校和专业的过程中，以下人员是否影响了您的决策，重要性如何?,"Did the following people influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,同专业学长学姐,Senior students of the same major,,4,12,18,36,9,3.43,1.046
24,在您选择留学院校和专业的过程中，以下人员是否影响了您的决策，重要性如何?,"Did the following people influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,同专业同学,Classmates of the same major,,3,24,20,21,9,3.117,1.1
24,在您选择留学院校和专业的过程中，以下人员是否影响了您的决策，重要性如何?,"Did the following people influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,非同专业的朋友,Friends who are not in the same major,,7,26,20,14,5,2.778,1.091
24,在您选择留学院校和专业的过程中，以下人员是否影响了您的决策，重要性如何?,"Did the following people influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",4,辅导员或班主任,Non-academic tutor,,14,10,5,5,2,2.194,1.261
24,在您选择留学院校和专业的过程中，以下人员是否影响了您的决策，重要性如何?,"Did the following people influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",5,学术导师,Academic advisor,,3,10,9,24,12,3.552,1.157
24,在您选择留学院校和专业的过程中，以下人员是否影响了您的决策，重要性如何?,"Did the following people influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",6,家长,Parents,,9,18,21,22,5,2.947,1.138
24,在您选择留学院校和专业的过程中，以下人员是否影响了您的决策，重要性如何?,"Did the following people influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",7,定居海外的亲戚,Relatives living overseas,,7,6,2,2,0,1.941,1.029
25,您的家长是否从事本专业相关的工作？如是，请说明。,"Do your parents work in a GIS-related field?  If yes, please specify.",1,,,4,,,,,,,
26,在您选择留学院校的过程中，是否有伴侣？,Did you have a partner when applying for study abroad programs? ,1,,,13,,,,,,,
27,如25题选是，伴侣是否会和你一起出国？,"If yes in Q26, will he/she stay with you when you are studying aboard? ",1,,,6,,,,,,,
28,如25题选是，伴侣对你的影响如何？,"If yes in Q26, how has he/she influenced you?",1,,,,0,4,3,4,2,3.308,1.066
29,在您选择留学院校的过程中，是否有子女？,Did you have any children when applying for study abroad programs?  ,1,,,0,,,,,,,
30,如28题选是，子女是否会和你一起出国？,"If yes in Q28, will he/she/they stay with you when you are studying aboard? ",1,,,0,,,,,,,
31,如28题选是，子女对你的影响如何？,"If yes in Q28, how has he/she/they influenced you?",1,,,0,,,,,,,
32,在您选择留学院校的过程中，是否有他人提供了有偿帮助?（包括留学顾问和润色等）如是，请注明,"Did anyone else provide paid assistance when applying for a study abroad program? (Including study abroad advisors and proofreader) If yes, please specify",1,,,52,,,,,,,
33,（如果上题选是）在您选择留学院校和专业的过程中，以下人员是否影响了您的决策，重要性如何?,"(If YES in the last question) Did the following people influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,非本专业的留学服务人员（如中介的销售、非本专业的文书导师）,"Non-academic study abroad advisers (e.g., agency sales, proofreaders)",,13,16,14,8,1,2.385,1.087
33,（如果上题选是）在您选择留学院校和专业的过程中，以下人员是否影响了您的决策，重要性如何?,"(If YES in the last question) Did the following people influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,本专业的留学服务人员（如中介介绍的提供有偿服务的本专业的学长学姐或专业导师）,"Academic study abroad advisors (e.g., seniors or professional tutors in your major)",,11,7,10,18,6,3.019,1.35
34,在您选择留学院校和专业的过程中，以下网络资源是否影响了您的决策，重要性如何?,"Did the following web resources influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,GISphere留学指南官网的学校和专业介绍或其他同类资源,"The GISphere Guide website which offers the information of GIS universities, programs, and faculty, or other similar resources",,6,7,15,26,27,3.753,1.22
34,在您选择留学院校和专业的过程中，以下网络资源是否影响了您的决策，重要性如何?,"Did the following web resources influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,GISphere公众号推送的申请经验、留学生活或同类其他资源,"The application experience blogs published in the GISphere community, or other similar resources",,6,7,18,24,26,3.704,1.219
34,在您选择留学院校和专业的过程中，以下网络资源是否影响了您的决策，重要性如何?,"Did the following web resources influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,来自GISpace微信群等渠道的志同道合一起申请的网友,Other students who are applying for GIS-related programs in the GISphere community,,7,11,26,15,22,3.42,1.264
35,在您选择留学院校和专业的过程中，以下学校网页相关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to online system influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,学校或院系官网的内容详尽度,The detailed information of the university or department's website,,1,7,12,36,25,3.951,0.96
35,在您选择留学院校和专业的过程中，以下学校网页相关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to online system influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,学校申请系统的友好程度,Friendliness of the application system,,2,13,19,35,12,3.519,1.014
36,在提交申请时，您是否达到了语言成绩要求？,Did you meet the language requirement when you submitted your application? ,1,,,54,,,,,,,
37,如35题选否，您最终选择的留学院校是否接受除托福雅思之外的语言成绩？,"If not in Q35, will your final choice of institution accept language scores other than TOEFL or IELTS? ",1,,,13,,,,,,,
38,如35题选否，您是否计划参加学校的语言班？,"If not in Q35, do you plan to attend a language courses?",1,,,3,,,,,,,
39,在您选择留学院校和专业的过程中，以下录取要求相关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to admission process influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",1,学校接受除雅思、托福外的其他语言成绩（如多邻国）,"The university accepts language scores other than IELTS and TOEFL (e.g., duolingo)",,27,20,10,10,4,2.211,1.253
39,在您选择留学院校和专业的过程中，以下录取要求相关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to admission process influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",2,可以发放conditional offer，之后再提交语言成绩,"The university can issue a conditional offer, and allow students to submit their language scores later",,19,14,11,16,13,2.863,1.475
39,在您选择留学院校和专业的过程中，以下录取要求相关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to admission process influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",3,不需要GRE成绩,GRE scores are not required,,7,11,19,25,16,3.41,1.221
39,在您选择留学院校和专业的过程中，以下录取要求相关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to admission process influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",4,审核申请的速度,Speed of review of applications,,10,17,21,22,10,3.063,1.226
39,在您选择留学院校和专业的过程中，以下录取要求相关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to admission process influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",5,"招生人员友善程度（如没有联系过相关人员请选""不适用""）",Friendliness of admissions staff,,7,10,6,24,9,3.321,1.295
39,在您选择留学院校和专业的过程中，以下录取要求相关的因素是否影响了您的决策，重要性如何?,"Did the following factors related to admission process influence your decision-making when choosing your study abroad institutions and programs, and how important were they?",6,申请过程不包含面试,No interview required,,13,17,23,17,7,2.844,1.215
